"Gene_Symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MAD1L1",333.738777600042,1.54158644824942,0.183273444352261,8.41140108267085,4.05141767346721e-17,2.31779629392668e-16
"LASP1",9854.41985745314,1.69481004333734,0.184599683787872,9.18100187693105,4.27098978673452e-20,2.94842574997783e-19
"SNX11",618.395229289989,1.13447553658174,0.134812566565748,8.41520613012329,3.92204631692921e-17,2.24648855494996e-16
"TMEM176A",2752.36197345387,1.93353340708475,0.291401652509278,6.63528634939086,3.23873171061536e-11,1.23400353168093e-10
"M6PR",2304.88816483357,1.22372308060252,0.143693450062876,8.51620641071009,1.64864876068047e-17,9.70950408947389e-17
"KLHL13",211.729224363081,1.40017769915456,0.368758532671942,3.79700420491748,0.000146455306045384,0.000297815438839345
"CYP26B1",174.582298552414,1.19731243178048,0.360090680146116,3.32503032651287,0.000884089179743399,0.0016300072624198
"ICA1",1790.41830491109,-1.14529325643709,0.255150674343672,-4.48869382525892,7.16612050060784e-06,1.68512892989423e-05
"DBNDD1",261.712028455558,-1.04673783967253,0.323628019887161,-3.23438570009326,0.00121904704263552,0.0022089997182769
"ALS2",1140.9064380719,-1.44045212535635,0.127685083399649,-11.281287422179,1.62352422181629e-29,1.96279121091722e-28
"CASP10",1923.52284977005,0.42978559072218,0.253156136495063,1.69770955060598,0.0895625943073906,0.122306323547601
"CFLAR",7966.11386193559,-2.50828050934961,0.158220750325307,-15.8530439540484,1.3393318094838e-56,5.21598381951631e-55
"TFPI",1303.86923652965,-0.596058588065922,0.280673706342349,-2.12367091963679,0.0336976707049265,0.0495583526361026
"NDUFAF7",515.015674885868,-0.894267654338131,0.143230257597708,-6.24356661320729,4.27704033824826e-10,1.48411816009509e-09
"RBM5",4552.53978525804,-0.886318620072312,0.124403479396758,-7.12454848023658,1.04422431436516e-12,4.414030937391e-12
"MTMR7",189.295663651352,-2.04580450671209,0.322210474293978,-6.34927995806102,2.16325044112725e-10,7.69898401378713e-10
"SLC7A2",637.731816420796,-0.382391719342851,0.399547892917073,-0.957061033537267,0.338536449962301,0.406205267474811
"ARF5",1586.55384763853,3.33581218876002,0.242424061885118,13.7602355262112,4.42084307838649e-43,1.0283735949172e-41
"SARM1",579.66577051814,0.612771796188298,0.219805007279512,2.78779725617931,0.00530677437287284,0.00882991130769115
"POLDIP2",2075.35185862917,1.86078380186209,0.177384464045608,10.4901171129827,9.59094395683825e-26,9.37633178496456e-25
"PLXND1",2929.41694764761,-0.302861071278977,0.258480428611429,-1.17169827095213,0.241318217471055,0.3003419659943
"CD38",414.125023014978,-1.64519206989953,0.432859490537596,-3.80075314475896,0.000144256959978434,0.000293564998863919
"FKBP4",3270.88880561496,1.21410938100587,0.281632897090427,4.31096435661082,1.6254410743788e-05,3.67756043078203e-05
"KDM1A",2782.52495642884,-0.193476144581559,0.125110557999394,-1.54644138492689,0.121998005841104,0.162558515109737
"RBM6",5290.23950605362,-2.02800881929886,0.130117428819348,-15.5859890385207,9.06494008082525e-55,3.27526970030578e-53
"CAMKK1",477.127885787429,-0.316816899985868,0.309840344441133,-1.02251661434639,0.306536453224009,0.372036866563784
"RECQL",618.055209153973,0.615570402268351,0.18258332870241,3.37144911664777,0.000747738501171978,0.00139375933844385
"VPS50",971.121732628233,-0.371872947806384,0.164510517084812,-2.26048130171925,0.0237913956339147,0.0359224178932667
"HSPB6",3191.43937187119,5.16290347143706,0.680262676132853,7.5895733406793,3.20960566887247e-14,1.50168773355296e-13
"ARHGAP33",352.599337234531,-1.23508982247043,0.250914239823282,-4.92235842549349,8.55074203999785e-07,2.20139328732266e-06
"NDUFAB1",992.573170623648,2.40775866170657,0.18678002584033,12.8908787268552,5.06632252601295e-38,9.51437347894033e-37
"PDK4",3306.62893669706,1.36897831747991,0.424356023796164,3.22601363174589,0.0012552737821201,0.00227182918095348
"SLC22A16",6.12502015217,-2.4178649569338,0.924957436587367,-2.6140283447577,0.00894816126528464,0.0144155128292561
"ZMYND10",24.0536091870406,-2.45997520822005,0.456777028857556,-5.38550551539925,7.2241319594905e-08,2.06706756835467e-07
"ABCB5",81.8887038486224,0.104294814789739,0.734552192259873,0.141984212815257,0.887092475693001,0.91574153653553
"ARX",10.6282920939545,1.78260516313738,0.851515699040378,2.09344955723811,0.0363090425021987,0.0531137124964814
"SLC25A13",1314.01602567017,0.361238425249024,0.206297326964035,1.75105722679577,0.079936053031463,0.110085846946591
"ST7",736.695334097081,-0.369455723041316,0.129917414511544,-2.84377367291655,0.00445827039482719,0.0074981795445744
"CDC27",2139.52541366972,-0.639017977411345,0.170558204332203,-3.74662702338672,0.0001792282664713,0.000360676959369659
"SLC4A1",10.1912047302136,-0.597321926133078,0.896656040853707,-0.666166176234498,0.505304889772936,0.577191935937892
"CALCR",6.19385721408566,-2.25410246147038,0.9494132502728,-2.3742058169324,0.0175867443018863,0.0270483188037023
"HCCS",773.793575755485,1.45222314745351,0.210194842899659,6.90893804728961,4.88295129539117e-12,1.96986816745721e-11
"DVL2",809.197175657115,0.974424241176821,0.195098216688715,4.99453176823006,5.89786830654676e-07,1.54243824364829e-06
"PRSS22",423.622710059538,-4.62223291928788,0.469333951565759,-9.84849466753367,6.95782314667079e-23,5.74678091710032e-22
"UPF1",4080.4240725568,0.793228036183129,0.172490680565937,4.59867184465022,4.25192910550072e-06,1.01978688351894e-05
"SKAP2",1857.73094276502,0.520065960694952,0.190782140601916,2.72596774024103,0.00641132642366792,0.0105486236770566
"SLC25A5",10183.0147218437,3.4593227799514,0.318742022096715,10.85304898675,1.92881772894275e-27,2.09949489911551e-26
"MCUB",364.042946353931,-0.622533147372044,0.182815228372664,-3.40525870253558,0.000661014012221662,0.00123940127291562
"HOXA11",397.369495350976,1.7611022042514,0.477870440140101,3.68531312322871,0.0002284216356943,0.000453953067695302
"POLR2J",671.039337628962,2.44070689983167,0.225986761467182,10.8002207031323,3.433771934439e-27,3.69948047698487e-26
"DHX33",838.787108842726,-1.06480288107359,0.172903668128387,-6.1583591175344,7.3502529932428e-10,2.50298437800716e-09
"MEOX1",124.667581771905,0.98912170784291,0.376285518947865,2.62864675369013,0.00857253579719675,0.0138455887503802
"THSD7A",404.192684918238,-2.2026281923766,0.407116963558753,-5.41030806754562,6.29164219675422e-08,1.81088383991086e-07
"LIG3",1525.25954349968,-1.20875036878983,0.11586513334476,-10.4323909522734,1.76392922436596e-25,1.69739113463671e-24
"RPAP3",739.784542389815,-0.273998705147878,0.177554119453563,-1.54318416261549,0.122786098812331,0.16348254223962
"ACSM3",536.004197516133,1.74219551744524,0.306799211240327,5.67861798080216,1.35787360519209e-08,4.13431398056322e-08
"REXO5",127.190279284899,-0.698577838122973,0.237437427717963,-2.94215551792774,0.00325936195306035,0.0055855882703257
"CIAPIN1",822.150499834347,1.33173590652461,0.131356876476527,10.1383036978851,3.73529285827633e-24,3.31880508515856e-23
"FAM214B",960.759260531233,0.644714349356075,0.225263714889071,2.86204260492444,0.00420920320724528,0.00710948337661718
"COPZ2",291.974791033404,0.385307201840123,0.425676574708149,0.90516421323935,0.365378397671094,0.434381111456221
"PRKAR2B",570.395332132087,0.856075255185052,0.386206576159898,2.21662526748539,0.0266487094488333,0.0399037758489661
"MSL3",1353.31151993356,-1.05934282362837,0.140567027552341,-7.53621131551576,4.8382233581754e-14,2.23018275338645e-13
"CREBBP",6346.70110498016,-0.612293726539825,0.110346183688038,-5.5488437032934,2.8756510595788e-08,8.53400193430591e-08
"TSPOAP1",1217.9803627864,-1.49776522661459,0.430016450141999,-3.48304169786993,0.000495751141669529,0.000945389368596166
"MPO",15.8932009972345,-1.49700991310466,0.707772729742275,-2.115099734981,0.0344214478164373,0.0505279409796941
"PON1",25.6716708435935,-2.58053182355782,0.716933179509663,-3.59940353900589,0.000318947915797447,0.000623173140714555
"GCFC2",592.605829736545,-0.828550265000837,0.180673958298636,-4.58588649301259,4.52064163856274e-06,1.08164162584521e-05
